AgeConducteur,SexeConducteur,BonusMalus,FrequencePaiement,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
40.0,M,50.0,Half-yearly,6.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,South West,350.0
46.0,M,50.0,Annual,2.0,Cheap,P12,Diesel,Professional,Closed zbox,Headquarters,529.2
37.0,M,50.0,Half-yearly,10.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,145.3
51.0,M,50.0,Annual,5.0,Cheap,P7,Regular,Private+trip to office,Closed zbox,Center,213.6
29.0,M,80.0,Annual,10.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Center,296.2
50.0,F,50.0,Annual,8.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Paris area,184.7
23.0,F,95.0,Half-yearly,9.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,513.6
41.0,M,56.99999999999999,Annual,1.0,Medium low,P13,Regular,Private+trip to office,Closed collective parking,Paris area,765.8
49.0,M,50.0,Half-yearly,0.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,371.2
32.0,F,72.0,Annual,8.0,Cheap,P9,Regular,Private+trip to office,Street,Center,259.3
42.0,M,50.0,Half-yearly,3.0,Cheap,P12,Diesel,Professional,Closed zbox,Paris area,363.2
39.0,M,50.0,Half-yearly,13.0,Medium high,P13,Diesel,Private+trip to office,Closed collective parking,Center,266.3
58.0,F,50.0,Half-yearly,10.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Center,274.3
45.0,M,100.0,Half-yearly,5.0,Cheap,P14,Diesel,Private+trip to office,Closed collective parking,South West,835.7
36.0,F,64.0,Half-yearly,4.0,Cheap,P10,Diesel,Private+trip to office,Street,Headquarters,425.6
47.0,M,50.0,Annual,7.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,Center,258.6
31.0,F,96.0,Half-yearly,7.0,Medium high,P15,Regular,Private+trip to office,Closed collective parking,Center,994.1
26.0,F,85.0,Half-yearly,2.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Center,500.1
47.0,M,50.0,Half-yearly,9.0,Medium,P14,Diesel,Private+trip to office,Closed zbox,Center,438.0
37.0,M,56.99999999999999,Quarterly,3.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,283.4
